date,product,sales
1978-11-12,above,699
2017-06-05,thousand,901
1976-09-08,hundred,572
1992-05-11,food,5
2012-12-15,name,843790
2008-11-07,nothing,89
1987-10-19,entire,62922
2012-07-24,remain,77557678
2022-06-25,movie,9852868
1999-07-19,great,6
1979-12-11,party,428
1970-05-09,actually,25490256
2005-09-03,position,162
1988-07-10,tell,5
1970-11-23,nearly,11105
1976-01-07,meet,95264132
2002-03-15,site,407468
1973-04-21,relate,39
2004-08-05,me,4
1999-10-04,where,450564970
2007-06-11,too,48718662
2003-09-25,rate,99788
2018-12-31,fear,14
1974-08-03,inside,8932
2009-12-31,hotel,807
2015-07-20,successful,8190262
1991-06-23,raise,87905938
2021-12-06,school,4
2011-10-10,along,7021
2016-06-11,always,514380
1979-03-17,member,119436
1995-03-01,tell,4
2013-02-01,child,599314
2017-03-21,too,392522
1986-11-15,stand,3
2007-03-03,expect,890665
1991-09-30,street,776
1978-03-24,poor,65370
2005-04-26,nice,3641
2007-02-12,painting,285
2014-01-26,stay,249611810
1970-07-06,southern,833822
2000-12-12,less,53144944
1982-08-25,gas,294
1981-10-22,perform,1778
1980-03-10,seat,25375117
2016-05-13,factor,2493123
2017-06-20,break,7
2019-03-27,approach,330411948
2012-12-01,yard,1191605
2023-10-29,imagine,16777
1983-11-03,happen,89062365
1974-01-10,investment,0
1976-02-04,among,96745531
2004-09-06,during,25
1977-09-06,difference,6092881
2020-01-30,meet,80
2006-03-20,hear,99
2016-07-03,around,1073
1994-01-31,material,734
2003-09-18,truth,805990963
2016-04-13,measure,55133
1970-10-28,read,20349578
2010-05-26,first,7154
2023-10-15,short,255145550
1988-04-05,market,8861339
1996-10-05,through,0
1980-01-10,likely,2434
1973-05-10,image,41915152
2008-09-29,economy,42
2025-02-09,per,41294
2001-04-03,response,620082
1983-03-22,purpose,0
1973-09-23,necessary,570506
1998-02-15,several,611050028
1997-01-09,night,3
1972-10-06,include,463690188
2009-02-27,fight,31656
2008-12-25,spend,58265855
1972-03-09,my,743
2000-11-03,magazine,8
2013-11-06,machine,472937
1979-01-30,save,158548
2019-12-15,recent,67756
2016-01-03,easy,8
2003-08-05,political,331
1974-07-08,whole,67181328
1988-07-24,order,6
2010-07-04,industry,17481195
1998-01-29,eye,9101280
2015-07-24,class,3634874
1979-02-27,hour,89
1976-05-26,three,803299
1975-08-29,view,9604
2017-08-14,board,984876758
2020-10-16,perform,8581
2017-01-14,could,93533625
2004-08-05,strategy,5092899
1971-10-05,medical,48323344
1978-03-27,risk,515441399
1978-01-21,easy,33070
1989-12-22,series,70509
2019-10-08,cup,944495675
2023-08-04,own,6203
2014-08-31,nice,40667204
2008-05-17,sport,127191296
2018-12-11,cell,8
2013-07-26,his,7684661
1993-08-08,clearly,68447540
1992-02-18,stand,38325113
2005-02-25,run,38
2011-12-17,job,39
2003-07-16,until,918213
1990-09-05,market,697
2007-07-24,medical,515537
2009-02-25,race,10228
1992-08-19,would,500
2025-01-02,Democrat,1333918
2020-02-19,forward,64930
1999-02-19,air,387
1977-05-05,build,7881277
2011-05-18,beat,79
1995-03-21,great,226
1972-12-11,follow,545807
1998-06-18,happen,535098662
2023-02-19,single,126976689
2018-02-23,eye,943
1976-10-12,board,76147
2016-03-28,participant,42
2016-03-10,evening,90228
1977-04-14,news,826107
2002-09-24,short,328732
1997-11-19,scientist,77
1973-10-08,woman,24
1983-01-06,almost,6491
2019-12-19,buy,57
1996-11-22,improve,767176616
1984-11-10,child,2112
1975-11-02,mother,110250181
1981-01-18,federal,182708
2003-05-23,think,56610960
1987-03-20,return,3
2008-02-20,evening,454
2023-09-24,sport,414696
1976-12-22,today,7
1972-12-19,back,35525843
2005-07-10,travel,662
2006-08-06,hold,2587739
2012-06-07,certain,699766070
2006-12-21,while,7
2005-07-07,plant,890442465
2007-04-12,list,3
1991-11-28,huge,31104542
1989-05-20,game,7
1983-08-15,follow,40764310
1972-11-21,may,7
1976-07-25,term,313944
2015-06-19,here,9219153
1979-10-07,discuss,6
2004-12-10,two,5
2018-11-17,music,98607573
2007-06-19,away,3024193
1970-10-23,weight,4249435
2003-09-06,director,69290
1989-03-24,tough,8380969
2009-07-12,but,628301
1982-07-01,establish,460219360
1982-05-27,material,11222936
1970-10-03,these,47279
1994-08-31,allow,941
2022-11-01,traditional,798
1999-08-16,west,75496
2015-10-23,short,6062330
2024-02-16,inside,7585465
2017-02-23,really,1727
1987-04-21,statement,250
1987-04-28,those,6080184
1988-12-02,skin,33109
2014-11-13,mouth,22806
2023-04-14,recognize,34930490
2019-01-13,reduce,8008244
1985-05-04,wall,14
1982-08-24,police,2130346
2025-03-12,reach,878
2020-12-14,some,67771852
2014-07-31,international,3089720
1983-07-17,condition,118
2005-05-03,true,20
2017-12-27,month,807124
1974-08-27,moment,358
2021-05-13,able,585121894
1971-02-04,body,7072693
1989-11-03,much,96
1982-08-10,pattern,6419888
2002-02-09,strategy,989837
2023-10-17,condition,34
2014-06-14,bit,6872738
2009-05-19,note,704621032
1983-08-26,poor,5
2006-12-09,Mrs,77069
1994-07-21,maybe,120564795
1989-04-12,life,184335474
2001-02-21,field,27
2009-12-10,while,988395888
1995-10-17,international,9
2013-12-14,performance,5
1970-02-18,hot,16727706
2005-09-19,may,4858071
1980-04-06,speak,73
2010-12-09,film,621718695
1975-03-07,down,352973
1995-03-01,ago,939932764
1981-12-25,can,321083
1975-02-17,expert,5274113
1976-04-01,thus,6
2007-11-04,spring,1574931
1974-05-11,bit,784293
1973-11-13,kind,4438775
1977-07-14,small,42723
2006-02-24,church,8
1977-10-30,unit,4273
2010-04-03,education,25
2007-10-21,analysis,125
2018-03-12,when,83154258
1979-06-18,approach,91310907
2020-10-12,pick,48
2009-06-17,away,34
1990-02-20,our,883151
1988-11-03,stock,220560
1989-05-23,north,1286
1988-12-21,leader,97
2015-08-01,father,7
2000-08-26,phone,413388244
2019-02-19,team,617288
1981-10-11,tough,5
2021-11-19,offer,91539269
1979-07-25,pay,63609492
1989-07-07,fish,32
2003-08-28,future,3779
2017-03-14,money,81
1979-08-06,color,47
1976-11-18,else,741
2022-07-28,science,2
2020-09-25,light,217352
1980-11-15,radio,880
1976-04-11,million,43
2005-11-27,mother,176061
1972-03-05,should,85342
1989-08-23,agree,447
1991-04-15,how,764448605
2023-10-10,pressure,38
2000-07-31,enjoy,9
1998-12-01,project,7178261
1995-03-21,high,27430038
1981-11-21,allow,8
1982-11-29,image,5829
1978-07-12,level,55042
1977-10-08,seek,35
2015-06-28,thank,77
2021-01-27,air,734
2005-11-08,instead,137328984
2003-11-20,near,98
1999-05-29,yourself,2626
2004-12-04,same,15
1997-12-04,begin,4
1972-11-09,assume,5234688
1974-12-06,interview,1993145
1989-11-02,mother,72469342
1996-05-27,land,79162379
1984-08-11,everyone,282925
1994-03-31,benefit,94915769
2015-05-13,true,210
1980-05-02,south,18655123
2020-06-14,especially,133854642
1971-03-02,cover,9074233
1976-12-02,authority,9414512
2004-09-28,reach,70
2011-01-06,party,969
2011-02-02,cold,983
1985-08-12,catch,49272
2022-04-02,hospital,992778721
1970-12-23,travel,7
2016-08-28,available,215
2025-05-31,nature,148
1970-09-09,more,4
1976-02-11,deal,9
1997-11-28,issue,1576902
1973-06-01,success,836
1983-04-15,religious,6
2009-05-11,authority,6432
1993-03-15,hope,748781
2013-03-15,resource,142494907
1979-11-15,medical,801628
2005-04-09,for,5661
2021-12-15,rock,725381151
1975-10-11,note,31993
2010-12-19,phone,510
1981-04-03,you,79485720
2024-07-06,garden,48253595
2002-11-21,order,0
2015-02-13,then,2823805
2024-08-09,that,591226
2017-04-13,senior,55858
2008-12-15,race,2
1973-04-05,seek,62311
1970-08-15,ask,3
1990-11-25,physical,43
2018-04-30,manage,52514
1984-04-24,clearly,84
2001-04-13,field,9802167
1984-08-11,election,528691
2011-07-20,personal,7736784
1991-03-28,single,883
1982-11-18,window,11588748
1974-04-10,time,45471
1998-01-11,mention,37
1979-02-18,rest,8776
2005-09-23,without,842350
2003-06-09,huge,721892
1988-07-01,good,5600676
1996-08-02,save,2169
1974-08-27,middle,43689863
2011-08-06,far,13667479
1977-08-04,medical,2
2023-02-20,more,478
2011-09-11,start,7
1984-12-08,detail,5
1973-09-15,common,46
1982-06-12,month,400
1986-08-15,walk,6944686
1989-03-12,own,92783116
1998-09-09,base,959193857
2024-06-03,set,909496
1976-02-17,analysis,863283218
1986-06-19,any,21
2011-01-01,long,3719
1975-10-29,until,7998
1984-01-21,avoid,2124093
2020-01-22,board,78
2013-01-01,accept,3
1988-03-08,fine,93652
1989-10-04,tell,69266887
1975-03-08,same,77
1970-09-18,senior,169279
1973-10-20,answer,457
2012-08-13,power,6
1979-11-16,worker,37
1974-10-05,should,18769260
1995-05-12,may,3552
2024-02-18,base,779
1981-06-28,really,35
1998-06-14,material,50732671
2014-09-13,maintain,341519
1980-09-20,response,8681
2009-04-20,name,456984
2001-09-27,most,398
1997-05-17,citizen,4
1994-01-21,success,2
2003-11-19,tell,546756221
1982-01-09,lot,844883
2022-07-01,network,374735261
2007-04-17,born,651035
1986-02-19,worry,77945334
1994-03-24,anything,62977
1998-07-09,pass,99
2002-08-13,defense,9303817
2000-11-25,happen,81009150
1993-04-18,air,543
2018-02-16,cut,32956749
1974-09-14,shoulder,89431248
2003-11-26,smile,115927709
2017-07-26,small,679
1979-08-29,out,57612
2007-11-30,other,13318
2021-02-23,trial,922040
1983-08-27,run,6
2017-02-24,rock,78925623
2005-10-20,may,2914866
2003-03-05,property,9
2009-01-06,agreement,965752
1983-02-18,step,23
1971-03-12,per,891562
1981-10-24,already,58
1999-06-11,box,1
2006-06-20,page,54215
1998-10-06,officer,5361
1976-10-04,while,773323
2013-03-04,third,8
1976-05-02,same,265220
1973-04-17,need,516957
2002-10-14,here,363652068
2023-05-04,necessary,34195768
1970-10-28,deep,38901
1976-09-06,beautiful,3822
1978-02-14,bar,22140
1992-03-26,job,440964065
1971-08-07,position,3829487
2015-02-06,key,7098
1973-08-02,on,1673034
1971-07-04,democratic,614018381
1993-09-08,theory,51332
1970-02-19,summer,106082
1976-04-08,student,92381098
2019-04-26,paper,894
2000-10-24,fear,971174
2011-12-24,manager,157155217
2009-02-26,yourself,234057
1992-07-28,later,94
2009-04-01,significant,61242
2014-09-14,hot,399
2021-09-05,event,8411476
2016-10-20,reflect,88156777
1975-09-14,same,904
2002-12-14,close,25
2017-05-28,somebody,10178309
2024-02-19,also,416
1980-09-07,stock,519
2024-07-20,scientist,54670
2007-08-23,list,5
1986-08-11,worry,165
2006-04-18,hear,46
2008-06-05,protect,435
2024-04-22,mind,48560
2010-01-13,major,58161762
2008-03-29,concern,5067
1976-03-09,prepare,176910
1990-03-27,sound,8842
1984-09-17,left,9982
1979-09-09,better,64929443
1972-05-08,stop,6
2000-11-17,cost,2768237
2019-07-11,situation,2192240
1979-12-02,yes,928485365
2003-10-28,low,7669272
1990-12-15,picture,2475968
2015-12-05,himself,466060558
1992-09-25,me,218487
2022-07-28,team,7825
1974-05-21,national,44809
2009-11-15,fall,1958748
2003-09-08,area,446
1996-11-10,economy,2530
1973-07-14,ever,182657885
2023-12-14,red,32051
2024-02-03,language,808012398
2024-10-15,hit,434051504
1986-09-13,majority,99240
1975-01-17,husband,877
2013-05-29,energy,76215
1976-01-18,crime,2369208
1998-09-14,attorney,41
1977-03-05,much,5706686
1996-06-03,thus,3759
2004-12-24,inside,6
2013-03-30,suggest,6198322
1976-12-23,seat,5656
1976-05-28,father,1
2019-08-23,consumer,2153584
2015-04-10,coach,18122464
1973-03-16,very,237553657
1987-11-23,laugh,70768
2009-11-13,teacher,194831631
1974-06-10,officer,1085
1982-03-18,authority,852149
1977-03-02,rock,84156935
1993-05-01,most,9896615
1989-10-16,Congress,231
1977-07-05,authority,8505
2014-04-10,address,1974
1989-06-18,western,844869896
1974-10-12,then,5462
1989-01-10,production,13
2007-02-17,machine,79642
2014-05-21,ago,33
1977-05-15,new,45105
2006-01-31,me,395
1973-01-30,response,8279
1977-10-26,prevent,39
2016-10-18,learn,349
2019-08-04,difference,6
2008-07-30,dream,38474503
1976-04-03,occur,5150
1990-11-25,miss,48
2010-10-27,air,4
1974-04-02,before,515
2006-08-11,two,81835
1972-06-17,in,2637298
2020-12-20,though,9132100
2019-02-12,big,2
2002-10-04,end,5990796
1981-01-23,tell,1110863
1984-02-11,company,8294
2004-02-16,federal,154015530
1972-05-15,game,2175871
1983-02-08,during,4073
2021-05-27,cost,7271171
1993-03-11,subject,933
1970-09-12,soon,983591
1988-12-05,save,156
1970-10-18,rate,5253985
1993-11-13,record,7
1972-06-04,floor,328
1979-03-31,spring,25872818
1975-04-16,hold,8
1991-02-09,decade,95805601
2018-03-18,minute,240
1981-02-08,offer,239812395
2022-10-14,consider,350
1985-06-05,democratic,82443
2009-01-09,side,5930
1970-06-28,sea,30134
1976-11-08,option,8921190
2003-01-04,direction,577735
1994-07-25,visit,91671635
2012-01-20,among,6334445
1986-07-01,threat,741
1994-05-18,foot,3847
1977-04-09,fire,8
1988-11-13,wish,271718
2001-09-08,Republican,8973147
2004-03-19,continue,816
2001-01-14,statement,73172341
1970-07-23,ever,743550
2019-05-02,child,48521628
1997-08-04,church,9
2003-06-21,section,5
2021-10-12,reveal,346736
2024-04-05,past,9114955
1993-02-07,modern,102643787
1994-08-15,cause,3
2018-12-16,region,84847041
1991-09-04,quite,7135
2000-01-03,three,739151664
1981-11-20,stand,988342
1999-11-09,training,628082
1987-07-09,kid,289
2014-06-26,agree,174718
1985-05-23,Congress,391255
1988-05-22,call,8713395
2002-01-09,less,6274
1991-12-30,instead,6142
2012-05-19,represent,390
1998-07-19,art,240
1978-11-26,parent,8
1992-07-22,choose,8893258
2015-10-31,rich,290
2006-09-20,look,188
1980-10-15,number,814177819
2019-07-18,world,626026
2011-02-19,energy,660565151
2005-02-20,political,84
1983-02-16,rest,483306
2023-02-12,eye,296733
2006-06-21,best,22
2005-05-10,hear,956
2010-01-18,after,987924642
1980-06-21,win,7
2006-02-22,mouth,6058
2009-11-02,current,4435
1999-09-04,reflect,708
2021-11-06,action,79989989
1996-02-14,group,27
2017-04-27,not,244836
1993-09-23,way,343767
2018-08-08,own,380
1984-03-31,quickly,74
2008-06-16,or,0
1987-06-25,another,33935978
1979-03-10,whose,3421
2019-06-22,amount,5
2000-08-08,task,36932835
1981-07-23,act,86
2004-12-15,girl,1257107
2015-01-30,dog,92
2023-06-25,man,232
1985-05-28,sound,1337040
2023-10-22,why,132004
1973-03-29,player,7809
1980-11-06,young,79812875
2005-08-24,act,63
1988-03-11,agent,508079482
1987-12-21,still,90
1972-03-06,leader,99396
2022-10-06,seem,26467
1988-11-18,foot,1580578
1994-01-09,environment,1
1988-06-09,yeah,6153613
2008-04-27,rich,243
1976-07-04,green,545
1987-11-06,point,40710840
1992-03-19,well,5
1988-06-04,according,0
1979-07-16,than,2
2009-04-06,on,6
1994-12-07,spring,9656
1974-12-11,somebody,1256
1998-08-10,through,29479
2018-09-19,old,38834
2025-02-10,necessary,296085477
1993-10-27,less,184
2001-06-16,nature,850658
2020-06-18,truth,777643
1977-09-05,board,917
2012-03-29,miss,70505
1972-06-06,difference,7341981
2024-09-22,people,38204
1971-05-13,sound,877447879
2013-02-14,same,9740
2005-01-11,strategy,65073
2013-08-04,according,172300
1976-12-08,need,72616
1977-12-04,nothing,222983
1977-12-03,law,4977
2018-09-29,stop,10168078
1982-07-25,participant,2605799
1992-11-10,follow,238800
2014-08-23,finally,7573
1994-01-11,look,8477
1971-01-19,fly,92780
1980-04-25,account,596803948
1990-06-19,him,2300
1983-11-22,speech,1705520
1999-10-01,respond,6346
1998-08-03,most,19946399
2008-11-09,pattern,581
1986-02-13,guy,4455970
2006-10-25,whether,62
1978-01-29,radio,4
1997-05-29,PM,830688
1974-10-18,situation,705433
1979-04-06,old,867
2010-02-28,speak,1579
1981-10-22,former,332
2004-10-20,upon,862843
2020-06-24,exactly,9
2022-03-08,front,117950191
1993-05-03,data,23
2011-04-03,civil,7
2015-02-28,free,12699148
1995-06-19,point,61
1973-10-16,remain,63723860
1987-02-03,responsibility,2262589
2007-11-14,white,878142845
1981-08-26,nor,45460
2023-01-05,finally,95
2007-08-07,strong,1827
2005-03-07,loss,2946
1994-03-13,few,24
2009-02-02,another,8234
2002-05-25,require,516130
2016-06-27,dream,3117729
1997-06-24,evidence,234258241
1982-11-16,again,5542396
1992-06-07,democratic,2398347
1989-02-08,better,4186718
1992-06-24,general,935718703
1984-10-18,TV,990
1978-09-18,claim,804
1976-06-09,our,827690
1992-09-05,author,76
1996-12-28,event,561785105
2023-11-30,pressure,22780
2005-08-20,surface,781288694
2025-02-11,no,6
1997-01-31,energy,295
2022-08-19,any,67964
2020-05-02,role,8
2003-08-04,court,5944
1971-11-17,five,2247135
1972-04-22,suggest,974
1973-07-14,what,1
1985-10-04,almost,1627
2012-04-22,kitchen,242914
2006-12-22,matter,9
2000-03-22,effect,8
2015-04-26,follow,56
2017-06-01,short,5
1996-05-06,lead,5645
2016-03-29,should,1
2020-07-11,quality,101092270
1996-02-16,box,397422
2023-09-06,happen,819
1977-03-05,message,131
1976-08-30,between,2333
2014-03-17,type,16
1981-03-13,enter,67199169
1995-04-28,writer,859
2005-02-10,his,578
1999-05-15,woman,258
1971-10-26,force,671
1998-02-06,program,252718
1987-10-16,at,3
1981-03-01,draw,6930
2021-06-22,PM,661059794
1974-04-10,gun,7
2007-01-28,natural,16395016
2001-09-05,professional,3
1989-08-26,Republican,3508
1988-07-21,surface,4081452
2014-04-03,character,328
2017-02-04,likely,537367423
2020-03-08,floor,750811
1978-03-03,more,896
1987-02-22,often,34772
2020-09-29,others,2310
2014-05-30,different,83415
1983-05-22,trial,4509395
1977-12-20,successful,2692499
2010-06-01,low,64000
2020-12-16,hope,108951
1977-06-05,office,66510
2022-07-04,get,3620
2005-01-19,process,1
1990-09-20,century,331492151
2006-06-13,range,187259195
2021-12-26,environmental,821971
2017-04-07,agent,4690
1989-06-29,buy,5010
2017-12-06,various,215026145
2006-09-19,degree,6877
2017-09-06,room,630
1983-03-06,five,74
1996-10-29,real,5590024
2014-10-04,keep,61499511
2009-08-16,do,539402289
2004-06-20,deep,5
2020-06-29,push,263
1972-07-25,staff,18864058
1971-09-12,laugh,3058291
1984-03-27,of,31
1988-06-17,so,56056
2004-06-27,able,66
2012-04-03,free,95569217
2015-03-30,knowledge,767
1975-07-03,change,155
1980-08-30,special,78
2011-03-25,mission,5
1975-03-24,ahead,900583521
2020-06-17,go,642127
2007-12-06,that,929
2009-07-26,play,8
1977-06-08,your,70632957
2003-11-07,class,646247
1987-09-04,collection,3658
1982-11-17,country,9
1980-02-04,care,1674682
1971-07-14,affect,3370
2014-07-24,yeah,46
1975-05-12,say,400998
1993-05-14,it,10400014
1982-08-15,music,3
1995-02-04,near,35513
1984-04-27,say,17
1998-01-30,first,70526
1981-06-30,Republican,6
2006-10-12,activity,99360466
2006-07-05,behind,946
1982-03-14,college,6573
1978-03-29,it,3
1970-01-02,fall,0
1996-03-30,strong,9
1985-07-03,use,68
1989-12-06,method,251
2000-11-23,bad,6
1980-02-21,use,72502610
2021-03-02,girl,8
2021-06-16,item,45708
1973-01-03,worker,471615
2014-04-22,she,47
1982-08-17,exist,8286229
2015-06-16,study,80214335
2007-06-27,particularly,41394873
1971-08-08,discover,2
1970-11-14,fly,278485908
2008-10-09,nearly,13
2017-03-02,hour,559
1992-06-16,to,5560
2007-09-19,dream,50902793
2000-02-28,professor,6844171
1973-04-26,agreement,81
1996-03-14,pattern,771254955
1995-12-15,item,50
2010-01-25,church,8415925
1979-11-19,organization,5429851
2020-03-21,possible,1372
1974-09-01,soon,18
1985-03-24,run,14386
1999-03-03,for,88696
1999-07-27,serious,960181630
1981-05-19,great,4
1978-09-17,customer,32
2016-02-13,manage,14541
2015-09-15,young,9843
2020-06-13,case,7
1987-11-15,two,79622
1998-10-02,degree,388
2019-10-06,science,3217
2002-09-20,find,9
